tech_id,0,1,2,3,4
2,60,676,26,163,823
3,880,447,50,831,744
4,317,158,29,868,41
5,751,6,100,159,268
6,751,5,100,481,268
7,422,562,248,592,17
8,129,561,792,876,593
9,811,644,351,262,799
11,13,728,422,857,786
12,37,233,576,532,7
13,786,11,44,112,422
14,786,13,146,190,689
15,787,561,726,7,8
16,344,420,44,741,668
17,202,7,121,331,857
18,703,729,672,821,549
19,630,664,544,823,528
20,420,23,165,121,153
21,389,139,802,769,83
22,842,755,834,45,565
23,446,760,37,874,41
24,526,733,883,433,28
25,389,255,286,618,31
26,2,17,21,805,857
27,638,321,66,823,459
28,24,144,213,321,206
29,733,177,151,573,41
30,829,317,823,63,19
31,286,787,73,255,94
32,195,149,24,887,389
33,58,35,52,389,446
34,92,628,452,690,178
35,138,322,820,174,33
36,120,197,320,111,392
37,820,40,64,41,174
38,823,750,739,48,105
39,173,420,128,122,861
40,37,26,23,41,47
41,58,47,149,880,37
42,744,392,475,107,66
43,179,389,446,149,385
44,13,794,668,561,802
45,556,626,22,8,661
46,131,785,547,350,593
47,41,823,58,822,150
48,166,116,442,338,823
49,374,19,68,870,769
50,51,3,47,823,37
51,50,744,3,29,750
52,823,63,154,33,638
53,216,786,262,200,349
54,857,314,7,122,42
55,660,87,191,223,301
56,776,488,785,593,78
57,733,105,889,526,725
58,41,149,33,47,37
59,58,317,192,19,822
60,823,192,47,163,208
61,874,821,374,506,425
62,631,192,679,435,822
63,863,446,886,823,52
64,149,37,41,823,887
66,375,545,424,130,641
67,420,556,46,861,782
68,374,49,123,420,17
69,422,746,649,858,769
70,743,72,355,700,814
71,561,78,275,785,420
72,70,842,106,112,570
73,726,102,733,866,725
74,806,9,835,135,839
75,188,144,234,820,214
76,875,204,282,110,822
77,787,78,876,425,399
78,71,56,776,565,729
82,551,166,652,17,48
83,389,831,883,163,733
86,792,791,515,532,257
87,176,538,603,556,422
88,465,521,304,101,385
89,733,831,880,122,520
90,729,661,261,672,163
91,791,806,835,9,794
92,822,695,158,34,47
93,746,887,831,565,729
94,31,109,811,73,726
95,193,216,262,792,795
96,98,73,756,618,57
97,149,820,459,883,206
98,96,383,733,167,73
99,803,806,792,795,802
100,159,192,5,435,468
101,465,470,385,822,317
102,726,821,73,868,874
103,459,880,104,445,887
104,172,171,153,823,822
105,750,742,317,739,57
106,755,748,126,136,743
107,42,769,850,744,660
108,327,814,120,244,136
109,444,70,467,192,72
110,338,76,172,19,822
111,556,120,846,834,516
112,13,115,815,280,786
113,834,846,850,837,770
114,821,446,868,874,283
115,112,349,191,277,146
116,821,823,442,283,383
117,757,335,491,823,529
118,834,660,837,846,352
119,313,389,663,149,179
120,111,556,516,36,846
121,248,624,17,253,282
122,192,230,54,89,173
123,484,319,331,17,68
126,806,835,106,764,810
128,785,547,729,131,201
129,876,8,561,858,850
130,66,246,393,728,660
131,547,567,660,670,566
132,9,799,889,792,795
133,556,237,120,244,302
134,798,70,237,133,318
135,793,351,9,792,795
136,748,280,558,755,702
137,11,201,858,807,583
138,322,35,537,544,234
139,21,769,135,2,696
140,815,13,11,252,814
141,399,430,331,476,77
142,703,794,820,149,317
143,703,252,879,142,537
144,35,530,174,823,28
145,769,19,71,785,831
146,814,689,422,857,523
147,726,592,102,821,742
148,742,874,822,497,480
149,521,97,530,58,304
150,192,47,338,172,266
151,29,210,709,177,226
152,329,576,857,558,46
153,172,104,41,171,60
154,52,659,179,446,675
155,820,174,165,823,887
156,198,886,820,174,823
157,167,577,866,733,725
158,823,821,695,636,92
159,100,742,192,5,822
160,231,282,317,446,821
161,278,739,638,272,311
162,342,171,868,823,266
163,83,419,60,2,99
164,520,339,376,889,730
165,823,174,868,886,820
166,48,178,744,862,82
167,577,733,866,157,286
168,334,781,823,321,877
169,572,298,659,389,876
170,729,822,792,795,802
171,172,104,162,822,192
172,171,822,104,153,338
173,420,873,660,746,225
174,820,165,886,823,35
175,835,310,806,842,644
176,716,87,801,603,746
177,149,29,807,663,709
178,166,34,862,628,48
179,446,43,389,820,385
180,271,102,492,506,149
181,773,280,889,347,9
182,693,719,823,283,652
183,385,887,581,240,88
184,271,728,820,889,399
185,399,646,184,785,668
186,336,592,792,795,802
187,196,668,280,593,312
188,755,682,422,815,748
189,769,768,252,857,500
190,755,729,689,215,422
191,785,668,280,187,422
192,100,435,423,497,679
193,95,216,262,799,797
194,668,857,661,370,786
195,820,179,155,823,304
196,187,510,253,146,504
197,236,36,392,414,545
198,422,156,593,389,793
199,751,443,506,77,368
200,794,786,885,262,53
201,565,729,728,776,785
202,373,17,479,484,210
203,274,243,255,479,392
204,76,110,822,842,282
205,876,71,785,246,717
206,648,647,760,219,794
207,817,748,558,755,814
208,733,868,60,339,874
209,661,556,660,422,746
210,151,402,331,249,202
211,835,837,846,352,418
212,760,537,165,174,874
213,28,24,638,287,161
214,638,553,581,546,823
215,773,817,689,190,347
216,262,839,95,193,835
217,695,823,690,820,158
218,785,370,131,728,201
219,733,453,638,278,43
220,556,626,225,120,244
221,420,746,711,613,673
223,336,728,201,534,565
224,793,755,422,835,815
225,873,422,746,703,709
226,151,3,429,210,420
227,799,431,326,490,804
228,781,805,661,804,91
229,392,388,275,674,282
230,314,667,709,785,420
231,420,667,325,392,709
232,422,709,663,712,728
233,859,823,878,611,592
234,138,35,247,144,823
235,556,626,236,728,744
236,820,744,197,235,641
237,556,626,133,611,120
238,751,339,880,192,497
239,807,839,418,361,842
240,751,317,192,693,268
241,389,208,60,260,52
242,136,556,748,833,352
243,755,249,203,38,565
244,556,111,120,133,108
245,313,806,155,464,811
246,785,130,46,561,205
247,638,661,138,593,389
248,592,121,249,7,250
249,505,587,248,331,479
250,868,751,192,248,240
251,746,660,422,173,280
252,785,138,879,473,422
253,282,805,267,668,558
254,823,317,874,821,426
255,325,624,622,25,31
256,339,159,41,100,483
257,86,663,525,833,224
258,259,887,805,650,685
259,258,887,650,875,888
260,261,679,457,192,304
261,472,635,821,260,505
262,216,95,9,347,745
263,495,462,442,452,434
266,192,159,240,162,150
267,834,248,565,850,253
268,751,100,5,6,423
269,590,853,343,785,267
270,880,472,475,256,676
271,184,180,726,422,102
272,820,627,886,638,739
273,338,742,110,171,150
274,203,869,822,372,317
275,71,556,796,792,795
276,877,726,311,149,348
277,729,796,668,558,115
278,161,272,219,355,786
279,359,280,842,567,834
280,422,748,136,558,755
281,14,205,129,137,861
282,76,231,420,253,373
283,338,116,742,618,182
284,863,542,839,821,458
285,792,795,802,644,9
286,577,31,167,502,866
287,252,314,418,785,592
298,420,592,501,225,249
301,786,794,820,889,13
302,883,179,556,592,551
303,835,833,132,743,91
304,149,696,389,530,88
307,570,353,620,272,847
308,789,328,762,199,333
309,842,303,833,360,257
310,806,768,175,609,835
311,820,161,149,741,446
312,187,668,667,745,807
313,119,551,585,500,663
314,785,420,230,668,746
315,793,885,835,794,745
316,252,389,638,565,313
317,483,385,254,460,59
318,755,355,768,431,806
319,123,785,842,593,786
320,525,197,36,823,530
321,639,798,28,25,27
322,138,35,149,456,544
324,693,719,742,158,202
325,333,622,624,255,627
326,806,799,797,872,792
327,846,108,355,842,556
328,858,875,77,769,785
329,584,842,611,846,556
330,749,668,833,728,842
331,479,249,210,123,484
332,769,562,592,873,138
333,325,443,492,286,31
334,811,168,796,804,839
335,529,117,593,491,786
336,223,768,776,482,393
337,383,179,733,43,453
338,283,862,110,116,172
339,520,256,580,471,737
340,834,369,850,711,846
341,868,344,817,751,15
342,162,693,821,240,751
343,760,858,269,7,121
344,389,883,844,847,16
345,445,425,459,768,103
346,872,433,794,201,881
347,529,262,689,181,9
348,149,578,311,882,355
349,799,115,661,53,729
350,796,547,567,356,46
351,792,795,802,804,791
352,589,118,519,242,625
353,357,848,218,844,847
354,833,559,377,755,773
355,741,418,833,327,310
356,547,861,876,131,350
357,370,353,570,218,194
359,835,361,366,793,279
360,839,529,364,792,795
361,359,366,582,835,661
362,793,792,795,802,9
363,683,713,718,723,551
364,797,792,795,802,558
365,875,668,510,850,556
366,361,359,805,390,582
367,810,355,326,280,227
368,823,858,868,750,578
369,340,131,547,850,569
370,194,218,538,312,728
371,102,821,368,752,374
372,520,869,737,376,339
373,484,479,202,684,282
374,61,49,68,876,371
375,66,751,618,459,151
376,730,737,476,149,471
377,814,806,559,354,743
378,755,748,833,565,806
379,806,803,748,755,91
380,782,791,714,566,758
381,668,769,857,627,574
382,769,389,876,565,858
383,337,640,463,679,116
385,101,317,470,453,465
386,491,161,303,810,811
387,815,872,887,746,382
388,722,696,823,633,553
389,526,530,119,304,521
390,833,366,698,668,712
391,446,23,362,73,763
392,410,583,229,231,642
393,792,791,830,396,774
394,722,814,626,19,664
395,807,418,239,872,74
396,796,811,768,393,799
397,768,799,326,797,806
398,703,781,342,174,457
399,185,649,184,141,69
400,642,555,187,593,781
401,820,841,786,838,796
402,760,676,505,210,537
403,846,592,365,504,606
410,392,627,592,753,381
412,668,420,614,565,221
413,770,564,563,668,832
414,545,546,641,823,197
415,744,602,530,381,671
416,769,250,287,331,785
417,785,873,746,499,770
418,837,846,118,355,599
419,457,165,616,163,174
420,221,583,314,591,173
421,855,593,785,860,852
422,280,746,7,439,669
423,192,100,5,483,6
424,546,66,863,574,414
425,506,61,443,492,345
426,254,751,435,192,159
427,393,794,668,786,130
428,210,429,151,874,537
429,880,3,151,445,645
430,820,855,149,446,593
431,877,814,227,349,768
432,833,422,755,834,805
433,833,565,24,820,354
434,462,463,862,263,446
435,100,192,423,426,632
436,221,560,574,441,746
437,751,192,527,522,822
438,806,805,396,839,694
439,834,728,494,833,422
440,420,709,667,187,225
441,857,565,622,667,769
442,116,263,383,463,640
443,506,475,317,389,750
444,464,472,109,477,623
445,552,463,693,103,526
446,450,756,179,473,465
447,475,3,454,760,744
448,536,676,459,635,446
449,389,733,831,454,877
450,446,521,790,883,877
451,508,522,528,527,444
452,760,420,149,495,593
453,317,874,733,385,43
454,447,475,449,757,744
455,751,446,868,874,460
456,322,138,862,116,332
457,576,823,821,474,522
458,862,821,628,452,573
459,466,693,103,172,97
460,317,455,383,880,719
461,473,446,389,385,537
462,434,463,263,445,874
463,462,640,445,679,464
464,463,444,823,434,435
465,101,470,446,521,654
466,459,493,767,485,880
467,742,866,451,533,109
468,822,100,159,423,769
469,654,827,826,471,737
470,101,465,751,385,423
471,763,765,339,737,376
472,261,444,587,505,192
473,886,446,461,691,815
474,389,149,521,446,457
475,447,641,270,454,742
476,376,643,471,580,737
477,822,444,539,821,874
478,794,796,889,743,272
479,373,484,684,249,769
480,742,739,750,862,66
481,100,6,5,751,423
482,488,776,792,336,791
483,100,159,5,256,423
484,373,479,684,821,863
485,767,880,493,586,466
486,717,510,340,571,382
487,792,875,791,755,846
488,482,776,56,792,875
489,422,850,815,280,518
490,815,764,136,748,833
491,814,335,696,272,718
492,785,861,506,729,792
493,751,466,485,790,767
494,834,606,439,556,728
495,823,821,497,820,263
496,328,199,117,590,852
497,751,192,495,317,823
498,755,497,565,523,548
499,504,503,807,120,487
500,446,785,66,883,861
501,728,565,861,876,422
502,286,866,31,445,157
503,516,626,499,842,504
504,499,563,503,413,253
505,587,823,249,472,619
506,425,19,443,492,61
507,547,543,369,131,660
508,451,527,668,550,522
509,820,149,823,522,636
510,668,571,486,382,340
511,513,812,882,556,487
512,660,606,131,518,547
513,511,487,812,668,555
514,850,785,861,876,660
515,661,86,556,667,626
516,667,503,120,111,834
517,859,786,233,878,611
518,660,512,850,606,613
519,834,837,859,846,611
520,339,164,149,372,737
521,149,654,465,389,883
522,451,821,823,508,509
523,432,817,146,755,490
524,640,880,679,485,240
525,320,823,530,388,257
526,389,24,866,445,286
527,751,508,823,437,451
528,19,823,550,866,451
529,360,347,364,335,745
530,149,389,671,446,820
531,733,866,868,573,555
532,852,86,769,12,860
533,757,117,467,885,66
534,728,223,439,565,798
535,760,675,556,422,815
536,448,317,768,676,635
537,821,874,473,212,138
538,336,223,370,87,712
539,477,742,615,638,862
540,628,619,554,178,166
541,815,557,740,697,378
542,684,551,757,324,284
543,131,507,547,606,850
544,823,138,322,456,332
545,656,414,641,713,66
546,581,424,553,414,545
547,131,567,569,356,350
548,652,769,578,744,149
549,623,761,617,580,653
550,528,820,508,446,886
551,792,795,802,811,839
552,579,445,463,692,555
553,722,389,546,823,696
554,823,742,573,862,254
555,744,400,531,392,821
556,611,244,819,237,626
557,572,814,589,709,95
558,559,136,748,773,280
559,558,377,354,582,658
560,661,833,562,660,600
561,8,71,613,129,420
562,592,446,317,332,560
563,556,802,846,807,593
564,755,748,556,413,832
565,596,834,584,729,574
566,782,131,758,607,547
567,131,547,670,569,350
568,834,556,422,519,660
569,547,594,595,567,369
570,889,620,696,772,307
571,744,769,858,510,420
572,557,835,352,814,877
573,733,149,823,531,29
574,565,729,807,668,769
575,728,626,748,661,593
576,457,558,152,474,816
577,167,286,157,725,733
578,822,149,548,348,19
579,692,552,829,823,497
580,339,737,730,763,476
581,546,768,704,682,183
582,842,556,559,834,377
583,420,392,575,873,667
584,834,565,850,556,591
585,887,313,19,821,446
586,485,444,767,420,556
587,505,472,192,249,121
588,814,589,817,743,720
589,588,807,352,814,557
590,769,673,853,507,861
591,420,584,861,747,780
592,248,562,298,7,332
593,595,606,597,598,131
594,595,569,780,660,593
595,594,593,569,785,873
596,565,597,746,599,660
597,593,596,599,608,666
598,593,712,566,390,595
599,596,597,660,602,608
600,670,748,556,131,566
601,834,755,596,670,565
602,671,593,660,131,530
603,819,593,626,660,566
604,601,660,758,547,834
605,556,561,602,671,417
606,512,660,593,131,494
607,660,566,782,729,603
608,597,599,596,593,598
609,310,280,364,741,811
610,817,773,748,743,702
611,556,859,878,626,519
612,475,684,775,618,744
613,711,850,561,593,369
614,804,793,803,806,792
615,866,733,420,624,862
616,760,676,419,457,679
617,623,725,476,549,874
618,283,775,338,663,769
619,192,420,505,631,587
620,570,668,772,312,420
621,505,472,587,451,866
622,624,325,255,333,592
623,617,761,549,874,444
624,622,325,255,121,592
625,834,512,747,519,668
626,611,819,237,669,556
627,759,325,272,410,475
628,540,497,34,458,452
629,746,703,667,729,622
630,19,821,874,823,457
631,632,483,619,435,317
632,631,767,483,485,317
633,794,811,839,796,688
634,389,340,286,621,539
635,676,448,261,472,536
636,304,690,158,149,823
637,811,491,638,262,694
638,691,247,52,530,27
639,321,388,696,235,722
640,679,463,874,383,524
641,744,821,475,750,545
642,392,400,555,444,656
643,476,737,376,730,874
644,9,799,715,326,797
645,792,791,429,846,834
646,185,729,785,422,746
647,648,206,820,154,728
648,206,887,883,647,550
649,810,399,69,190,389
650,675,659,651,393,736
651,675,769,650,659,598
652,548,459,862,455,744
653,874,52,821,549,211
654,820,521,826,465,692
655,638,472,466,505,587
656,545,438,642,570,414
657,811,733,393,877,732
658,773,559,743,355,794
659,420,593,675,556,650
660,512,131,606,518,596
661,596,664,209,515,600
662,785,420,746,857,769
663,389,177,149,304,119
664,661,19,769,565,728
665,660,760,568,420,518
666,834,661,556,842,755
667,709,516,230,231,131
668,510,412,187,782,857
669,626,556,422,842,785
670,131,567,547,600,660
671,733,530,389,602,866
672,729,858,446,640,733
673,221,590,784,853,660
674,556,626,392,687,122
675,887,650,389,888,736
676,448,635,536,761,402
677,769,873,568,785,592
678,446,389,383,757,448
679,192,640,463,383,751
680,850,834,724,668,340
681,750,821,862,445,531
682,188,581,418,553,801
683,444,723,626,558,713
684,373,484,479,542,563
685,883,858,664,149,446
686,3,821,630,472,270
687,633,740,697,689,728
688,889,773,806,740,743
689,797,764,799,146,806
690,820,459,217,636,92
691,638,473,389,52,101
692,579,823,521,654,465
693,459,445,821,823,324
694,805,883,9,575,242
695,823,444,217,792,795
696,722,304,388,389,638
697,740,444,688,836,668
698,806,792,795,802,633
700,764,811,748,773,796
701,857,661,668,772,392
702,610,748,136,556,598
703,143,142,629,18,225
704,835,793,581,794,638
705,393,768,786,799,797
706,858,785,791,585,662
707,823,19,232,234,722
708,760,876,709,592,420
709,667,556,230,663,557
710,768,709,760,799,420
711,613,340,221,369,420
712,755,422,598,748,709
713,820,149,66,683,840
714,834,667,380,275,727
715,806,644,885,877,799
716,176,792,795,875,791
717,486,205,861,510,420
718,739,638,723,363,742
719,821,703,324,182,693
720,773,811,796,797,889
721,814,556,842,855,701
722,696,553,388,823,304
723,683,638,392,840,660
724,842,660,420,834,746
725,752,726,866,733,102
726,733,102,787,874,725
727,733,389,714,734,149
728,439,575,223,494,534
729,565,596,574,190,785
730,737,376,149,735,733
731,794,834,556,796,422
732,733,657,821,866,376
733,726,727,734,671,736
734,733,675,736,874,659
735,733,730,737,760,874
736,733,675,888,887,734
737,730,376,339,733,520
738,807,788,508,802,823
739,161,750,174,37,272
740,889,743,688,817,720
741,355,280,389,883,252
742,862,283,148,467,483
743,610,806,740,817,688
744,641,236,166,3,571
745,529,262,755,768,793
746,221,596,251,422,173
747,850,660,625,805,834
748,136,755,564,280,379
749,757,886,762,638,704
750,105,739,38,641,50
751,5,6,268,497,240
752,725,866,821,726,742
753,182,410,868,744,475
754,785,668,422,252,759
755,748,564,318,106,834
756,446,733,389,865,317
757,117,749,533,121,36
758,782,566,660,593,850
759,755,793,627,806,792
760,708,402,824,735,212
761,623,676,549,444,617
762,726,703,821,757,749
763,765,471,737,372,730
764,700,689,799,797,806
765,763,471,737,730,580
766,862,829,579,116,463
767,485,317,638,466,822
768,793,310,396,802,835
769,332,651,590,189,677
770,413,422,626,563,808
771,556,449,842,770,727
772,803,796,797,806,570
773,688,720,610,658,817
774,806,393,768,849,851
775,618,373,612,484,325
776,488,482,849,56,785
777,779,872,804,811,785
778,593,727,820,784,389
779,811,785,799,777,797
780,420,660,850,595,594
781,228,168,398,510,807
782,758,566,420,668,861
783,556,668,667,626,392
784,853,776,849,864,575
785,314,246,596,595,46
786,13,14,812,301,517
787,876,389,31,866,725
788,744,738,821,760,212
789,308,762,420,873,173
790,493,485,767,450,466
