tech_id,0,1,2,3,4,5,6,7,8,9
2,21,139,177,419,1376,60,47,163,1230,1237
3,29,447,557,663,618,1353,686,916,50,151
4,1228,317,1312,1376,1306,3,29,1266,1354,823
5,6,100,159,468,459,1053,256,992,41,483
6,5,100,459,159,1053,468,41,481,256,1141
7,248,1149,562,12,15,422,17,1235,857,1327
8,561,129,46,44,1273,246,71,15,1282,205
9,351,74,132,925,135,262,181,1276,91,1321
11,13,1061,422,728,1277,387,482,786,793,201
12,37,40,51,64,50,1354,47,23,7,29
13,11,44,112,422,201,56,140,482,191,194
14,694,689,146,382,13,856,198,227,668,817
15,857,1327,7,1354,561,341,792,328,1126,810
16,344,187,847,327,844,741,280,312,326,663
17,269,1005,754,1065,1282,1066,1293,7,877,331
18,672,752,703,1375,1109,1327,1086,1104,342,729
19,664,544,630,823,528,1182,1328,470,585,1141
20,23,1200,1064,1281,1358,1126,153,1282,1207,1378
21,389,139,2,83,177,1358,29,23,51,1282
22,1036,215,955,1309,556,1377,842,190,1191,747
23,40,47,37,41,58,29,1126,59,60,20
24,526,28,1162,32,733,213,1132,389,1382,1354
25,321,618,286,304,639,333,31,1089,1203,402
26,668,2,40,857,1041,479,769,1306,17,1207
27,371,1253,321,1141,307,66,1162,1256,1219,52
28,321,24,144,213,823,1234,792,392,1224,791
29,51,177,151,3,47,41,37,256,663,557
30,1070,829,63,936,1376,840,263,52,19,1252
31,94,286,73,255,333,325,502,443,639,1066
32,1199,195,24,726,304,526,155,733,1256,1151
33,58,52,35,41,1162,37,446,1219,64,389
34,92,158,628,690,1008,452,480,695,995,462
35,138,174,234,33,322,144,1234,165,212,544
36,120,111,197,320,1113,1086,1165,133,392,244
37,40,41,64,23,12,1234,58,29,47,51
38,823,48,750,916,442,1206,105,243,1228,1353
39,128,1378,173,420,93,122,1090,728,560,562
40,37,23,41,47,51,12,64,58,50,59
41,47,58,37,6,459,5,256,40,159,1053
42,107,392,1200,142,54,1353,66,668,1089,282
43,453,179,385,389,823,337,1256,461,219,470
44,13,561,1207,8,11,191,112,129,201,336
45,556,626,1191,1355,1377,1092,1363,857,1036,1366
46,131,547,350,356,567,670,785,950,949,8
47,41,23,29,40,58,823,50,37,150,1141
48,166,442,1376,116,1008,338,823,821,38,283
49,68,374,19,78,1203,71,1282,1263,870,769
50,51,47,3,37,40,210,823,12,750,41
51,50,29,37,47,3,40,151,210,23,41
52,1241,154,1382,63,887,1162,33,945,1006,888
53,216,349,262,200,926,168,13,334,112,193
54,314,1149,122,422,1219,107,7,857,248,42
55,87,1287,1337,660,420,191,955,667,301,1211
56,1313,1273,776,488,1307,201,13,422,996,482
57,105,1381,1203,1349,1354,254,226,237,743,794
58,41,59,1188,33,1301,1302,47,37,1132,23
59,1301,58,1076,1188,1245,1222,192,1243,317,1141
60,47,208,23,163,153,823,1132,29,210,1306
61,896,425,506,1050,374,644,923,821,898,726
62,631,880,1192,192,1222,435,1301,1302,679,100
63,52,30,1306,446,1188,1256,823,1132,1162,37
64,37,41,1162,58,40,33,149,823,47,51
66,545,1234,1152,1010,546,1253,27,1052,414,826
67,556,1375,420,1149,46,1355,861,855,356,1273
68,49,374,123,1073,938,1379,202,319,1207,1069
69,1356,706,422,1357,746,585,973,368,416,688
70,72,355,958,1348,327,112,609,134,814,326
71,1313,746,561,78,879,1307,275,129,422,1090
72,70,948,952,951,1348,955,106,109,112,1363
73,102,443,31,726,286,737,725,338,94,372
74,9,351,135,1348,181,432,315,132,186,336
75,188,1219,1151,144,794,234,233,1275,1234,908
76,1376,282,204,110,1245,48,822,870,202,484
77,199,443,78,1355,328,71,271,31,1383,425
78,71,56,1142,77,201,1333,1330,776,538,1159
82,166,48,551,652,1010,548,283,612,178,542
83,163,389,21,1172,88,537,153,252,139,473
86,532,792,1040,791,1083,1355,257,1361,515,1029
87,176,538,955,422,819,556,55,603,1213,312
88,1382,465,304,101,521,470,385,1162,177,183
89,90,122,916,103,39,83,398,520,1026,1354
90,89,261,1164,472,2,1243,163,60,1038,672
91,1349,791,1354,228,1224,9,925,743,285,794
92,695,158,690,34,822,995,1349,1141,1188,217
93,118,1327,128,39,107,248,746,1202,113,778
94,31,443,1163,102,73,726,286,1089,612,268
95,193,216,262,792,791,1318,1349,335,351,1354
96,98,1078,1263,73,865,1028,1268,618,1074,1204
97,149,1219,1256,206,1162,1234,1151,1253,138,648
98,96,790,383,337,167,1008,1266,73,116,756
99,1358,1064,792,1126,791,1055,163,1281,821,1194
100,159,1301,5,468,1053,435,6,192,483,459
101,470,385,465,453,822,1301,88,1302,183,521
102,443,73,726,147,725,371,180,94,268,271
103,104,345,192,445,1188,1162,1349,987,1354,89
104,172,171,153,103,823,1202,41,1302,1192,1306
105,57,1358,317,750,1202,38,1256,254,1228,821
106,952,954,948,126,958,951,1139,1104,136,957
107,42,1091,1066,54,118,1175,1149,31,660,119
108,327,120,741,1104,244,956,133,136,355,609
109,697,72,433,1260,1245,70,444,792,791,1262
110,1378,338,76,172,177,1301,204,1132,150,48
111,120,36,556,1355,244,516,842,133,834,499
112,13,115,1011,70,280,140,72,191,44,354
113,1104,834,1143,1139,1327,128,889,1355,1092,1059
114,1245,821,283,442,166,1266,192,1162,116,48
115,1117,112,1220,1140,191,795,349,1129,140,190
116,442,383,283,821,48,338,337,679,823,1368
117,335,757,1256,491,533,823,1162,446,1233,1266
118,834,93,1093,1143,280,175,660,355,609,327
119,313,1151,663,530,304,557,179,177,1368,1382
