tech_id,0,1,2,3,4
2,676,60,254,26,527
3,50,443,270,880,460
4,719,554,102,254,256
5,751,6,268,437,100
6,751,5,268,497,171
7,248,54,422,249,592
8,129,488,717,196,784
9,262,811,777,529,779
11,13,356,561,728,514
12,233,576,532,86,198
13,14,786,252,189,301
14,13,786,382,510,112
15,341,177,7,54,332
16,382,864,344,590,420
17,331,269,249,381,860
18,719,703,860,249,123
19,630,664,544,823,528
20,121,562,424,591,249
21,389,651,802,139,189
22,819,584,242,190,842
23,391,469,623,471,476
24,119,657,58,735,530
25,389,775,198,725,530
26,40,343,479,331,249
27,52,638,414,154,161
28,321,775,852,618,234
29,520,573,653,725,177
30,678,550,554,117,544
31,255,286,624,775,122
32,304,521,64,829,58
33,550,88,52,521,530
34,178,166,554,442,48
35,138,322,37,174,820
36,320,197,508,659,120
37,174,35,138,820,530
38,256,823,750,4,544
39,173,420,298,816,187
40,26,479,373,123,202
41,58,550,150,521,693
42,782,253,365,331,410
43,530,727,119,179,756
44,344,249,252,189,574
45,611,556,626,220,244
46,56,67,785,776,246
47,692,92,162,254,451
48,442,165,116,766,166
49,870,506,374,725,531
50,3,823,750,51,744
51,428,50,454,447,452
52,692,829,691,521,88
53,335,216,200,262,786
54,7,248,590,332,857
55,670,131,607,747,596
56,46,776,71,488,561
57,526,725,96,219,107
58,41,521,550,260,52
59,100,497,435,481,437
60,2,823,162,192,497
61,537,630,725,719,874
62,435,150,470,266,192
63,550,767,867,654,92
64,550,304,829,174,52
66,375,545,424,130,641
67,46,221,708,782,596
68,374,449,123,319,391
69,844,422,746,847,590
70,700,589,377,557,743
71,561,596,56,711,670
72,106,570,377,319,771
73,737,520,372,339,725
74,852,682,186,490,562
75,144,233,704,852,35
76,121,467,162,204,274
77,425,646,721,78,563
78,56,776,784,844,128
82,166,652,551,36,571
83,736,389,449,344,831
86,792,257,791,532,198
87,594,712,670,538,882
88,304,385,52,33,154
89,520,29,270,341,653
90,679,753,142,639,180
91,529,326,347,791,704
92,47,581,767,483,63
93,7,746,708,113,828
94,109,355,38,285,386
95,193,262,557,216,792
96,98,756,57,526,725
97,149,521,117,52,119
98,96,756,383,790,725
99,577,803,657,591,624
100,435,268,192,679,59
101,465,100,423,692,58
102,573,4,630,870,460
103,693,459,880,466,58
104,41,693,153,171,172
105,524,493,311,750,756
106,564,755,812,136,748
107,333,622,775,325,410
108,327,490,394,564,832
109,467,444,870,367,400
110,162,587,121,579,693
111,556,589,120,487,611
112,523,354,433,146,600
113,834,568,625,846,848
114,829,61,537,423,821
115,349,112,176,595,594
116,821,165,456,48,464
117,757,550,692,544,97
118,625,519,834,251,369
119,313,530,179,450,521
120,611,220,783,111,556
121,587,624,248,20,282
122,173,712,704,493,214
123,860,319,331,484,853
126,806,346,396,835,620
128,754,547,785,662,56
129,876,501,8,514,590
130,427,518,201,864,613
131,596,602,566,594,599
132,813,9,799,361,688
133,302,556,316,611,819
134,798,318,70,72,216
135,633,589,614,186,388
136,702,559,748,564,558
137,583,547,665,504,856
138,322,35,37,826,544
139,696,257,664,86,198
140,523,490,247,233,252
141,430,649,368,331,17
142,143,570,654,91,703
143,142,703,629,169,758
144,75,52,35,234,33
145,71,382,774,675,881
146,523,112,280,600,354
147,573,826,4,530,592
148,742,467,170,539,435
149,521,97,530,58,304
150,268,41,100,183,435
151,428,226,497,210,202
152,576,582,809,857,488
153,587,172,104,250,254
154,691,52,88,852,304
155,820,156,322,544,138
156,138,35,155,544,473
157,167,726,537,725,531
158,544,766,579,464,313
159,58,465,100,268,867
160,324,343,179,373,612
161,278,491,739,544,203
162,470,110,47,165,250
163,419,616,676,447,867
164,520,730,274,316,643
165,823,162,116,48,641
166,628,48,82,554,34
167,726,725,573,531,733
168,551,321,334,692,783
169,659,143,179,708,189
170,171,148,240,443,347
171,172,6,693,822,816
172,171,822,385,465,423
173,131,221,789,122,596
174,37,820,35,544,195
175,310,835,379,9,806
176,716,115,349,87,56
177,58,149,337,685,29
178,34,121,554,166,542
179,530,119,521,826,446
180,676,271,679,448,60
181,610,347,529,364,773
182,497,254,166,60,434
183,385,268,435,150,100
184,725,64,726,511,478
185,399,646,368,15,543
186,633,687,74,135,808
187,782,854,196,717,510
188,755,498,242,490,146
189,13,769,844,774,754
190,215,755,819,439,489
191,625,785,354,754,287
192,100,435,423,497,679
193,95,216,262,557,715
194,513,812,560,668,146
195,174,820,52,119,829
196,187,8,828,854,717
197,231,36,414,20,42
198,232,257,86,335,663
199,495,496,164,240,654
200,715,794,478,778,841
201,128,356,71,314,501
202,373,479,121,615,282
203,274,121,243,161,76
204,587,121,76,162,542
205,71,876,314,333,879
206,648,91,219,647,333
207,610,817,280,748,558
208,756,453,733,868,456
209,568,661,606,232,611
210,151,121,373,622,382
211,704,361,431,478,321
212,788,760,537,434,342
213,321,808,722,491,431
214,122,581,162,47,154
215,489,190,354,378,379
216,95,262,193,839,710
217,452,530,690,692,174
218,353,712,711,594,666
219,530,696,24,704,57
220,611,120,556,626,45
221,596,420,597,746,173
223,275,439,336,534,728
224,793,755,217,689,422
225,221,596,873,422,746
226,151,428,210,381,50
227,326,799,401,213,390
228,781,845,843,478,573
229,674,392,410,414,639
230,709,597,46,667,173
231,583,854,420,197,282
232,770,198,707,422,809
233,75,12,544,576,704
234,852,707,144,52,553
235,639,611,237,556,626
236,820,713,826,744,35
237,611,556,626,235,220
238,150,455,631,483,256
239,682,771,361,395,807
240,751,470,497,423,654
241,52,389,260,530,692
242,702,244,22,188,556
243,203,373,498,718,231
244,556,611,242,45,721
245,464,522,552,116,263
246,785,879,881,46,844
247,638,553,704,722,852
248,7,121,562,249,592
249,479,298,248,331,574
250,426,162,483,58,52
251,746,221,512,625,660
252,754,316,523,741,13
253,504,440,783,365,828
254,823,554,497,47,434
255,624,622,627,325,31
256,339,580,640,460,737
257,86,198,139,449,808
258,259,650,675,830,651
259,258,650,675,830,651
260,679,58,261,465,385
261,472,635,260,477,679
262,9,529,95,347,715
263,442,434,579,464,766
266,423,470,767,192,497
267,584,494,566,439,625
268,150,100,751,183,435
269,314,17,860,331,7
270,3,880,454,485,475
271,578,860,180,732,184
272,433,820,165,278,544
273,752,870,313,256,162
274,203,164,76,204,47
275,223,336,379,714,370
276,368,573,495,430,570
277,14,351,689,227,72
278,161,355,272,311,433
279,569,594,595,600,714
280,354,422,748,146,600
281,711,856,356,218,777
282,121,373,622,202,231
283,338,618,254,742,116
284,636,826,545,863,458
285,551,484,813,715,9
286,526,634,624,167,31
287,191,252,314,416,128
298,249,420,248,662,592
301,478,740,13,91,142
302,179,133,883,450,388
303,835,355,833,309,841
304,88,530,521,64,58
307,353,370,776,71,570
308,328,333,371,123,860
309,303,360,381,808,257
310,806,175,768,835,798
311,530,105,491,161,337
312,606,381,370,665,668
313,579,119,552,464,158
314,785,420,221,269,71
315,355,793,91,885,366
316,252,133,530,164,741
317,483,385,254,460,59
318,755,601,378,768,354
319,71,123,785,72,314
320,36,827,544,388,35
321,28,213,491,639,775
322,138,35,174,480,149
324,434,121,483,426,160
325,333,627,622,624,255
326,806,227,91,715,9
327,108,330,846,361,563
328,844,847,308,421,858
329,582,611,842,120,846
330,808,809,390,771,515
331,17,860,249,26,853
332,769,677,562,664,596
333,325,622,71,107,595
334,811,315,551,168,796
335,529,347,146,198,530
336,275,223,396,538,350
337,550,383,790,177,530
338,283,862,48,116,477
339,256,580,640,520,469
340,369,613,584,758,834
341,15,767,829,852,52
342,423,254,454,470,437
343,26,706,708,356,298
344,44,530,648,685,83
345,172,425,552,466,171
346,126,872,14,314,277
347,529,777,91,262,9
348,578,278,573,355,469
349,115,799,431,176,538
350,489,796,275,215,547
351,759,792,795,802,804
352,589,118,519,242,625
353,357,71,218,784,666
354,280,433,523,112,215
355,361,315,278,366,303
356,547,598,56,561,71
357,353,567,387,776,489
359,361,835,91,620,793
360,309,262,614,839,95
361,366,355,359,239,315
362,793,9,326,175,563
363,164,551,624,203,388
364,609,720,797,181,792
365,253,486,875,828,717
366,361,315,805,355,253
367,841,701,810,109,812
368,495,527,790,544,823
369,340,613,599,758,850
370,538,849,712,275,312
371,374,719,49,458,752
372,376,643,640,73,460
373,202,479,282,622,121
374,371,537,61,49,68
375,66,483,456,631,751
376,732,372,737,520,730
377,814,806,588,106,698
378,215,354,318,379,600
379,806,759,803,748,215
380,589,390,275,187,854
381,574,249,738,312,398
382,14,16,561,675,210
383,790,460,337,98,167
385,183,172,88,435,317
386,388,491,551,573,8
387,649,815,351,112,473
388,573,491,386,637,272
389,526,530,119,304,521
390,330,833,380,809,186
391,23,763,765,471,446
392,410,583,229,231,642
393,792,791,830,396,774
394,108,564,816,244,691
395,239,361,807,74,418
396,796,811,768,336,393
397,710,768,9,326,799
398,381,201,703,781,18
399,185,649,184,141,69
400,642,187,836,109,196
401,112,473,845,227,820
402,121,760,202,210,621
403,828,340,583,253,721
410,392,516,229,107,42
412,510,668,420,221,708
413,770,582,247,86,510
414,546,197,27,545,424
415,142,639,91,43,744
416,287,620,13,590,139
417,516,314,221,253,596
418,837,846,118,355,599
419,163,616,867,447,550
420,221,583,314,591,173
421,855,593,785,597,32
422,280,746,7,439,669
423,470,192,867,435,100
424,20,27,414,546,66
425,506,345,619,870,76
426,423,250,483,497,619
427,130,13,107,319,425
428,151,51,226,254,590
429,3,880,643,107,339
430,826,829,654,141,521
431,559,877,349,529,572
432,833,422,188,601,318
433,354,272,112,523,833
434,462,254,324,442,263
435,100,192,268,423,183
436,221,851,561,56,71
437,100,268,423,481,493
438,379,806,633,805,701
439,494,834,584,534,728
440,783,597,670,253,221
441,857,864,603,312,356
442,263,48,434,34,166
443,3,325,475,101,105
444,464,472,109,477,623
445,552,463,693,103,526
446,450,756,179,473,465
447,475,641,454,3,163
448,678,462,536,459,477
449,304,735,389,691,521
450,446,461,119,313,52
451,621,467,47,466,618
452,217,762,64,726,636
453,726,734,208,562,725
454,447,641,254,342,270
455,640,483,238,692,520
456,116,208,43,322,375
457,522,579,313,158,464
458,573,752,102,116,114
459,466,693,103,172,97
460,256,383,524,640,3
461,450,473,474,446,33
462,434,463,58,448,471
463,464,552,466,693,462
464,463,158,579,313,119
465,101,172,679,446,58
466,459,463,693,451,869
467,451,109,76,162,47
468,822,189,423,867,169
469,471,23,476,339,520
470,423,162,150,266,268
471,476,469,23,524,391
472,261,47,679,444,464
473,530,461,474,886,446
474,473,461,521,33,389
475,447,641,270,454,742
476,471,469,23,391,737
477,261,822,539,338,444
478,301,112,354,794,796
479,26,249,373,202,615
480,322,138,38,116,324
481,423,437,59,100,6
482,488,776,792,716,791
483,631,632,317,100,581
484,373,162,285,867,123
485,524,880,254,631,3
486,717,516,187,782,365
487,111,792,875,189,791
488,56,776,8,482,46
489,215,599,350,547,569
490,689,136,815,188,74
491,321,161,551,388,311
492,785,706,143,594,252
493,437,150,100,105,268
494,439,267,834,598,584
495,368,272,860,199,867
496,199,308,303,178,328
497,423,751,192,100,254
498,188,523,684,121,243
499,504,503,120,710,605
500,52,344,88,83,129
501,129,561,854,518,505
502,31,286,671,866,25
503,783,499,626,709,594
504,499,253,583,120,516
505,619,562,623,23,249
506,425,49,527,577,635
507,600,280,354,340,606
508,738,341,36,194,513
509,74,29,388,770,217
510,668,412,187,782,857
511,513,611,530,556,626
512,660,131,606,518,596
513,511,754,194,304,740
514,784,670,131,566,850
515,611,661,596,330,808
516,864,417,667,267,486
517,13,620,786,112,478
518,512,660,782,561,711
519,848,834,568,625,837
520,730,29,149,737,164
521,149,58,52,304,692
522,457,313,464,821,165
523,146,354,112,252,280
524,485,460,471,3,105
525,117,722,809,142,342
526,286,389,671,756,634
527,506,5,368,60,719
528,41,254,19,719,544
529,347,91,262,9,335
530,119,304,179,734,43
531,725,167,726,733,577
532,12,86,816,257,108
533,757,117,653,95,431
534,439,223,494,728,275
535,731,58,180,760,771
536,448,356,345,402,277
537,61,821,874,719,374
538,370,712,849,223,336
539,477,148,476,573,742
540,554,628,166,458,178
541,731,815,279,720,355
542,684,121,622,76,204
543,131,596,566,599,758
544,823,550,692,174,158
545,656,414,546,66,284
546,581,722,414,553,385
547,602,569,599,131,606
548,571,713,652,562,260
549,653,617,623,451,29
550,117,544,64,648,654
551,285,168,491,792,795
552,579,463,445,313,158
553,682,389,722,546,691
554,254,4,540,544,41
555,692,464,836,325,845
556,611,244,819,237,626
557,589,95,572,588,135
558,559,136,748,773,280
559,558,136,431,610,702
560,600,194,666,848,433
561,71,711,613,56,518
562,248,632,505,332,453
563,611,120,721,556,605
564,755,106,136,748,556
565,596,834,584,729,574
566,131,598,602,603,606
567,594,569,598,602,670
568,519,584,113,834,209
569,547,567,599,594,606
570,142,620,889,106,72
571,47,663,744,260,166
572,557,216,431,529,835
573,630,530,637,167,726
574,249,381,565,729,605
575,131,664,596,728,598
576,152,12,233,195,61
577,624,725,99,531,637
578,271,630,348,47,92
579,552,313,158,692,457
580,339,256,631,162,460
581,546,483,47,100,631
582,329,842,611,494,556
583,231,420,392,504,131
584,267,439,340,834,568
585,313,450,830,528,829
586,464,158,579,630,664
587,121,619,162,192,204
588,814,589,377,557,610
589,557,687,111,588,807
590,129,769,54,331,17
591,780,420,782,587,121
592,248,562,298,7,332
593,595,606,597,598,131
594,595,670,131,596,599
595,594,597,598,670,131
596,131,670,221,594,595
597,595,131,221,593,596
598,595,602,608,566,131
599,602,131,547,758,594
600,131,594,595,596,602
601,834,318,595,755,782
602,131,599,547,598,566
603,131,602,566,593,606
604,547,567,608,598,569
605,611,596,556,574,499
606,131,512,660,593,782
607,603,606,569,512,660
608,598,602,595,604,547
609,364,9,570,572,378
610,817,136,773,181,748
611,556,237,626,45,220
612,652,621,618,160,475
613,561,340,711,850,518
614,804,135,364,793,803
615,202,624,373,577,479
616,163,419,676,472,261
617,623,549,643,874,339
618,283,775,451,28,48
619,505,587,192,497,870
620,570,517,359,126,194
621,451,167,286,48,23
622,624,255,325,282,775
623,617,874,23,102,549
624,622,255,121,325,627
625,519,848,118,680,113
626,611,819,237,669,556
627,325,255,624,622,577
628,166,540,48,458,178
629,221,596,143,746,173
630,573,867,61,19,719
631,483,632,580,100,435
632,483,631,562,869,249
633,135,186,700,794,811
634,286,526,202,337,167
635,261,472,506,761,448
636,158,254,690,304,521
637,573,577,811,388,551
638,691,247,52,530,27
639,235,321,415,677,142
640,339,256,460,372,455
641,744,447,821,454,475
642,392,400,283,109,154
643,372,737,339,520,164
644,9,799,715,326,797
645,792,220,603,607,791
646,185,629,221,543,314
647,648,654,142,691,696
648,550,647,829,344,117
649,810,399,387,126,141
650,259,258,675,651,830
651,675,769,650,21,259
652,612,82,618,166,34
653,549,423,29,874,550
654,550,829,820,142,692
655,52,691,696,154,638
656,545,11,229,20,840
657,526,24,99,530,811
658,773,610,396,614,637
659,169,420,67,708,593
660,512,131,606,518,596
661,596,664,209,515,600
662,128,221,298,708,784
663,198,450,209,474,530
664,661,575,596,19,816
665,856,669,670,598,566
666,834,494,661,353,600
667,709,516,230,231,131
668,510,412,187,782,857
669,626,594,596,670,556
670,596,594,595,131,567
671,526,733,734,726,725
672,4,729,44,530,550
673,784,56,221,706,71
674,229,611,122,237,556
675,651,259,258,736,887
676,761,2,679,163,180
677,332,596,595,769,282
678,448,446,30,121,473
679,260,100,192,497,676
680,625,340,519,613,848
681,531,138,61,727,337
682,553,852,74,704,239
683,546,818,444,168,838
684,542,498,587,121,622
685,530,179,177,883,252
686,829,254,434,3,50
687,589,186,633,704,562
688,889,773,806,181,743
689,797,490,813,764,772
690,217,636,693,820,165
691,52,154,638,829,654
692,52,829,47,521,544
693,463,254,41,171,104
694,805,883,9,575,242
695,474,692,52,544,704
696,139,119,304,530,735
697,836,838,845,560,841
698,529,262,633,377,347
700,70,633,764,523,811
701,704,367,682,840,122
702,136,242,748,559,556
703,143,142,629,18,225
704,852,91,696,682,701
705,808,397,710,393,657
706,343,314,298,596,673
707,232,234,722,823,809
708,221,760,56,67,561
709,230,667,556,503,783
710,397,777,216,173,499
711,594,561,613,71,595
712,370,122,218,755,538
713,236,654,820,548,142
714,275,279,355,560,312
715,262,9,326,806,200
716,176,115,482,792,795
717,486,187,782,8,758
718,243,373,484,787,739
719,821,870,61,4,18
720,740,364,773,811,796
721,244,111,120,814,556
722,852,546,553,704,707
723,627,231,283,618,168
724,56,71,864,518,784
725,531,61,167,577,752
726,733,727,167,453,735
727,734,735,726,43,733
728,439,575,223,494,534
729,565,596,574,190,785
730,520,737,726,735,734
731,541,335,794,315,535
732,376,573,530,577,730
733,726,727,734,671,736
734,727,530,735,733,756
735,727,734,726,58,730
736,733,888,887,675,83
737,730,256,73,376,520
738,807,381,151,341,508
739,161,750,174,37,272
740,720,301,889,743,478
741,252,316,450,119,530
742,862,283,148,467,483
743,610,806,740,817,688
744,641,236,166,3,571
745,529,262,755,768,793
746,221,596,251,422,173
747,369,613,55,864,666
748,136,755,564,280,379
749,757,827,415,320,324
750,105,739,38,641,50
751,5,6,268,497,240
752,577,61,725,726,866
753,692,90,211,410,321
754,252,128,513,785,314
755,748,564,318,106,834
756,446,526,727,734,208
757,117,749,533,121,36
758,131,599,547,596,606
759,379,755,351,793,215
760,708,402,824,735,212
761,676,679,261,163,472
762,726,452,117,254,484
763,765,391,372,73,331
764,700,689,799,797,806
765,763,391,249,374,565
766,158,579,693,464,48
767,172,341,266,63,254
768,793,310,396,802,835
769,332,651,590,189,677
770,809,232,422,626,413
771,239,556,111,330,675
772,803,689,812,796,797
773,688,720,610,658,817
774,189,806,393,768,353
775,618,325,321,622,28
776,56,784,488,46,71
777,9,347,872,710,529
778,776,200,56,593,606
779,9,529,811,785,347
780,591,420,566,173,512
781,228,168,398,510,807
782,187,606,547,518,131
783,503,440,120,597,253
784,673,776,514,56,353
785,314,246,596,595,46
786,13,14,812,301,517
787,622,879,718,31,333
788,212,641,454,151,744
789,173,589,131,221,122
790,383,337,98,460,727
791,792,795,802,91,830
792,791,795,802,830,86
793,802,885,768,803,315
794,91,633,478,200,142
795,799,797,792,802,791
796,396,350,478,797,688
797,798,795,799,801,364
798,797,768,799,801,431
799,795,797,813,644,9
800,350,364,377,768,801
801,797,795,798,176,349
802,793,792,795,791,813
803,806,379,793,529,792
804,614,773,351,793,777
805,694,793,253,366,835
806,803,379,326,310,91
807,589,738,519,611,177
808,330,213,833,809,515
809,770,330,808,232,225
810,649,367,805,841,23
811,9,396,529,779,871
812,106,786,841,194,13
813,799,132,792,795,802
814,377,817,588,146,491
815,872,490,112,387,473
816,664,171,619,6,260
817,814,610,773,743,523
818,626,611,556,111,772
819,556,626,611,190,584
820,174,827,35,37,272
821,719,641,537,867,61
822,172,100,423,101,171
823,544,692,254,174,165
824,760,163,18,537,719
825,46,775,639,246,321
826,179,138,827,820,52
827,820,826,544,138,823
828,253,403,187,854,196
829,52,692,521,64,654
830,888,792,791,393,259
831,3,83,270,708,449
832,108,143,120,607,814
833,354,600,439,808,390
834,837,846,439,519,584
835,303,91,175,359,768
836,838,697,555,845,843
837,846,834,848,519,340
838,836,845,843,841,697
839,216,633,551,239,315
840,701,841,161,229,723
841,812,838,367,845,326
842,582,846,848,834,329
843,838,759,228,135,836
844,847,328,71,189,246
845,838,841,228,697,464
846,837,834,848,340,842
847,844,851,328,71,189
848,837,846,519,834,625
849,131,603,606,547,543
850,613,340,131,566,514
851,847,436,561,71,603
852,704,234,154,722,74
853,861,858,331,782,123
854,187,782,231,566,758
855,421,597,857,861,593
856,670,665,547,356,669
857,510,668,146,194,598
858,853,685,706,861,343
859,143,883,517,789,842
860,331,123,17,221,269
861,853,785,595,782,881
862,868,742,823,338,35
863,63,867,284,484,862
864,516,514,613,584,583
865,164,477,76,679,693
866,531,167,725,286,752
867,630,423,821,254,59
868,862,208,165,531,823
869,880,632,317,172,466
870,719,49,102,619,286
871,811,633,877,144,9
872,777,91,815,326,797
873,173,595,670,131,221
874,623,61,537,423,821
875,365,487,76,417,259
876,129,708,356,71,879
877,431,871,450,715,114
878,244,115,241,490,611
879,881,71,246,785,221
880,3,869,270,485,524
881,879,785,314,246,71
882,669,87,422,112,594
883,521,685,302,450,119
885,793,262,315,95,715
886,174,473,820,35,165
887,888,736,675,183,521
888,887,830,736,675,393
889,688,570,740,181,743
